"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","29","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","29","1","6","19","12"
"01/02/2020","33","NO2","ChelmsfordNR","25-017-0010","AQS","3","31","1","9","31","33"
"01/03/2020","45","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","6","21","1","18","45","31"
"01/04/2020","47","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","26","1","13","47","32"
"01/05/2020","36","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","36","3","10","16","12"
"01/06/2020","41","NO2","VON HILLERN ST","25-025-0044","AQS","5","29","3","11","33","41"
"01/07/2020","40","NO2","VON HILLERN ST","25-025-0044","AQS","3","34","3","11","33","40"
"01/08/2020","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","34","3","9","39","33"
"01/09/2020","38","NO2","VON HILLERN ST","25-025-0044","AQS","5","33","4","10","30","38"
"01/10/2020","42","PM2.5","Brockton Buckley","25-023-0005","AQS","5","30","3","13","42","34"
"01/11/2020","43","PM2.5","Brockton Buckley","25-023-0005","AQS","3","39","3","12","43","15"
"01/12/2020","34","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","34","3","9","23","11"
"01/13/2020","32","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","27","1","13","32","26"
"01/14/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","20","3","12","45","24"
"01/15/2020","45","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","7","28","1","18","45","33"
"01/16/2020","47","PM2.5","Brockton Buckley","25-023-0005","AQS","7","33","4","14","47","31"
"01/17/2020","39","Ozone","ChelmsfordNR","25-017-0010","AQS","2","39","3","12","28","21"
"01/18/2020","37","NO2","VON HILLERN ST","25-025-0044","AQS","3","35","4","9","33","37"
"01/19/2020","42","NO2","VON HILLERN ST","25-025-0044","AQS","6","33","4","11","41","42"
"01/20/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","38","4","12","28","27"
"01/21/2020","46","NO2","VON HILLERN ST","25-025-0044","AQS","7","37","4","14","43","46"
"01/22/2020","58","PM2.5","Brockton Buckley","25-023-0005","AQS","8","35","4","25","58","47"
"01/23/2020","67","PM2.5","Brockton Buckley","25-023-0005","AQS","8","31","3","30","67","44"
"01/24/2020","63","PM2.5","Brockton Buckley","25-023-0005","AQS","7","34","3","20","63","44"
"01/25/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AirNow","3","39","1","13","38","20"
"01/26/2020","31","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","31","1","5","20","17"
"01/27/2020","23","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","23","1","5","22","21"
"01/28/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","38","3","17","17","20"
"01/29/2020","40","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AirNow","2","40","4","13","26","25"
"01/30/2020","38","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","34","3","8","35","38"
"01/31/2020","46","PM2.5","Brockton Buckley","25-023-0005","AQS","5","34","3","15","46","39"
"02/01/2020","51","PM2.5","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","6","30","1","16","51","36"
"02/02/2020","57","PM2.5","Brockton Buckley","25-023-0005","AQS","5","30","4","21","57","32"
"02/03/2020","46","PM2.5","Brockton Buckley","25-023-0005","AQS","6","31","4","13","46","35"
"02/04/2020","54","PM2.5","Brockton Buckley","25-023-0005","AQS","8","31","3","13","54","51"
"02/05/2020","41","PM2.5","Brockton Buckley","25-023-0005","AQS","9","34","6","17","41","38"
"02/06/2020","33","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","3","33","1","6","30","33"
"02/07/2020","35","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","32","1","3","20","35"
"02/08/2020","36","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","36","3","7","28","14"
"02/09/2020","36","PM2.5","Brockton Buckley","25-023-0005","AQS","3","35","7","17","36","32"
"02/10/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","35","3","11","45","25"
"02/11/2020","54","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","5","30","1","21","54","29"
"02/12/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","38","1","8","38","28"
"02/13/2020","45","NO2","VON HILLERN ST","25-025-0044","AQS","6","32","3","13","39","45"
"02/14/2020","36","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","5","36","6","14","27","25"
"02/15/2020","36","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","36","21","9","34","24"
"02/16/2020","42","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","32","3","12","42","32"
"02/17/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","6","42","3","14","45","32"
"02/18/2020","38","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","3","38","3","7","35","30"
"02/19/2020","40","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","3","40","3",".","23","24"
"02/20/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","3",".","24","33"
"02/21/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","39","3","9","32","36"
"02/22/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","43","3","12","46","28"
"02/23/2020","56","PM2.5","Brockton Buckley","25-023-0005","AQS","3","45","3","21","56","41"
"02/24/2020","57","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","5","46","3","26","57","43"
"02/25/2020","58","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","36","3","29","58","38"
"02/26/2020","53","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","44","3","20","53","30"
"02/27/2020","46","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","2","46","3","11","22","25"
"02/28/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","40","3","6","32","29"
"02/29/2020","37","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","37","3","8","33","37"
"03/01/2020","40","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","37","4","11","33","40"
"03/02/2020","52","PM2.5","Brockton Buckley","25-023-0005","AQS","7","47","3","15","52","41"
"03/03/2020","54","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","45","3","20","54","35"
"03/04/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","1","8","30","20"
"03/05/2020","42","NO2","VON HILLERN ST","25-025-0044","AQS","5","40","4","15","33","42"
"03/06/2020","48","PM2.5","VON HILLERN ST","25-025-0044","AQS","9","41","3","12","48","44"
"03/07/2020","42","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","42","4","8","21","22"
"03/08/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","44","3","8","33","41"
"03/09/2020","49","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","49","3","12","48","38"
"03/10/2020","55","PM2.5","Brockton Buckley","25-023-0005","AQS","3","43","3","21","55","42"
"03/11/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","39","4","13","28","21"
"03/12/2020","37","Ozone","Brockton Buckley","25-023-0005","AQS","2","37","3","9","33","33"
"03/13/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","39","3","14","35","29"
"03/14/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","4","9","28","12"
"03/15/2020","44","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","44","6","11","31","15"
"03/16/2020","41","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","41","4","8","26","23"
"03/17/2020","39","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","3","39","4","10","30","33"
"03/18/2020","43","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","3","43","4","8","34","29"
"03/19/2020","41","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","41","3","8","32","20"
"03/20/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","34","0","10","45","25"
"03/21/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","3","14","25","11"
"03/22/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","0","6","33","20"
"03/23/2020","40","PM2.5","Brockton Buckley","25-023-0005","AQS","2","40","1","12","40","28"
"03/24/2020","40","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","40","1","6","20","21"
"03/25/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","0","9","30","16"
"03/26/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","0","11","34","24"
"03/27/2020","43","Ozone","Brockton Buckley","25-023-0005","AQS","2","43","3","25","38","26"
"03/28/2020","49","PM2.5","Brockton Buckley","25-023-0005","AQS","2","43","6","20","49","39"
"03/29/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","3","11","27","7"
"03/30/2020","44","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","44","1","7","21","10"
"03/31/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","1","10","29","28"
"04/01/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","0","9","25","30"
"04/02/2020","37","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","37","4","27","23","16"
"04/03/2020","39","Ozone","Brockton Buckley","25-023-0005","AQS","2","39","0","4","19","22"
"04/04/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","38","0","12","33","9"
"04/05/2020","39","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","2","36","0","19","39","20"
"04/06/2020","42","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","42","3","11","42","34"
"04/07/2020","45","Ozone","Brockton Buckley","25-023-0005","AQS","2","45","3","12","29","40"
"04/08/2020","43","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","43","0","13","40","30"
"04/09/2020","51","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","2","44","0","14","51","23"
"04/10/2020","36","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","36","0","4","16","14"
"04/11/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","0","6","18","14"
"04/12/2020","48","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","48","1","13","47","26"
"04/13/2020","46","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","2","45","1","19","46","12"
"04/14/2020","45","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","45","1","6","21","16"
"04/15/2020","51","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","45","3","9","51","35"
"04/16/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","1","9","29","24"
"04/17/2020","44","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","44","1","9","38","16"
"04/18/2020","44","Ozone","Brockton Buckley","25-023-0005","AQS","2","44","1","9","30","24"
"04/19/2020","54","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","54","0","13","39","21"
"04/20/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","41","1","9","29","37"
"04/21/2020","53","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","44","1","15","53","38"
"04/22/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","3","7","23","12"
"04/23/2020","47","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","47","1","9","29","29"
"04/24/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","45","3","17","46","44"
"04/25/2020","51","PM2.5","ChelmsfordNR","25-017-0010","AQS","6","47","1","16","51","35"
"04/26/2020","44","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","44","0","13","37","27"
"04/27/2020","41","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","41","0","6","17","8"
"04/28/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","0","6","25","25"
"04/29/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","38","0","9","31","35"
"04/30/2020","51","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","2","40","0","24","51","19"
"05/01/2020","47","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","40","0","20","47","31"
"05/02/2020","41","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","3","41","1","9","33","28"
"05/03/2020","55","PM2.5","Brockton Buckley","25-023-0005","AQS","3","51","0","21","55","37"
"05/04/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","44","1","11","29","22"
"05/05/2020","33","Ozone","Brockton Buckley","25-023-0005","AQS","1","33","4","8","20","14"
"05/06/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","38","1","6","24","31"
"05/07/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","1",".","27","31"
"05/08/2020","44","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","44","0",".","25","13"
"05/09/2020","40","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","2","37","0","4","40","9"
"05/10/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","0",".","28","27"
"05/11/2020","45","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","3","45","0",".","38","25"
"05/12/2020","39","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","39","1","6","20","11"
"05/13/2020","42","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","42","3",".","29","32"
"05/14/2020","49","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","49","1",".","35","28"
"05/15/2020","58","Ozone","Brockton Buckley","25-023-0005","AQS","2","58","1","13","48","23"
"05/16/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","0",".","25","14"
"05/17/2020","42","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","42","0",".","40","11"
"05/18/2020","41","PM2.5","Brockton Buckley","25-023-0005","AQS","2","41","0","11","41","26"
"05/19/2020","38","PM2.5","Brockton Buckley","25-023-0005","AQS","2","38","0",".","38","22"
"05/20/2020","42","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","42","0",".","33","27"
"05/21/2020","51","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","51","0","18","34","22"
"05/22/2020","51","PM2.5","Brockton Buckley","25-023-0005","AQS","2","50","3",".","51","18"
"05/23/2020","42","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","42","0",".","40","12"
"05/24/2020","41","PM2.5","Brockton Buckley","25-023-0005","AQS","1","36","0","18","41","8"
"05/25/2020","46","PM2.5","Brockton Buckley","25-023-0005","AQS","2","27","0",".","46","15"
"05/26/2020","42","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","42","1",".","36","21"
"05/27/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","0","15","25","15"
"05/28/2020","26","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","26","0",".","24","13"
"05/29/2020","28","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","1","28","0",".","24","10"
"05/30/2020","40","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","1","40","1","13","30","17"
"05/31/2020","31","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","1","31","1",".","18","8"
"06/01/2020","32","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","1","32","3",".","28","17"
"06/02/2020","42","Ozone","Brockton Buckley","25-023-0005","AQS","2","42","1",".","27","24"
"06/03/2020","58","Ozone","Brockton Buckley","25-023-0005","AQS","2","58","1",".","43","19"
"06/04/2020","64","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","64","0",".","55","22"
"06/05/2020","53","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","47","3","17","53","25"
"06/06/2020","46","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","46","1",".","42","15"
"06/07/2020","34","PM2.5","Brockton Buckley","25-023-0005","AQS","2","28","1",".","34","14"
"06/08/2020","32","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","32","3","10","31","27"
"06/09/2020","43","Ozone","Brockton Buckley","25-023-0005","AQS","3","43","1",".","38","24"
"06/10/2020","53","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","44","3",".","53","14"
"06/11/2020","44","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","33","0","18","44","15"
"06/12/2020","44","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","44","3",".","35","12"
"06/13/2020","37","Ozone","Brockton Buckley","25-023-0005","AQS","1","37","9",".","21","12"
"06/14/2020","44","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","1","27","4","10","44","12"
"06/15/2020","39","PM2.5","Brockton Buckley","25-023-0005","AQS","2","29","4",".","39","21"
"06/16/2020","37","PM2.5","Brockton Buckley","25-023-0005","AQS","3","31","7",".","37","21"
"06/17/2020","74","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","5","74","3","18","52","25"
"06/18/2020","45","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","45","4",".","29","17"
"06/19/2020","45","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","45","3",".","24","14"
"06/20/2020","61","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","61","4","14","47","14"
"06/21/2020","51","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AirNow","3","49","3",".","51","13"
"06/22/2020","42","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","42","3",".","21","14"
"06/23/2020","67","Ozone","CONSENTINO SCHOOL.","25-009-5005","AQS","2","67","3","15","45","16"
"06/24/2020","51","PM2.5","Brockton Buckley","25-023-0005","AQS","2","46","1",".","51","31"
"06/25/2020","47","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","47","1",".","34","27"
"06/26/2020","67","Ozone","Brockton Buckley","25-023-0005","AQS","2","67","1","18","48","35"
"06/27/2020","50","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","50","1","14","45","18"
"06/28/2020","47","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AirNow","2","46","0","13","47","14"
